algo_name,hyperparameter_name,hyperparameter_value_exp,avg_reward
sample average $\epsilon$-greedy,epsilon,-7,6.0026283
sample average $\epsilon$-greedy,epsilon,-7,6.1794796
sample average $\epsilon$-greedy,epsilon,-7,4.8837605
sample average $\epsilon$-greedy,epsilon,-7,1.5889541
sample average $\epsilon$-greedy,epsilon,-7,3.2896056
sample average $\epsilon$-greedy,epsilon,-7,5.6657987
sample average $\epsilon$-greedy,epsilon,-7,0.4754977
sample average $\epsilon$-greedy,epsilon,-7,0.3703427
sample average $\epsilon$-greedy,epsilon,-7,0.05726957
sample average $\epsilon$-greedy,epsilon,-7,4.8264923
sample average $\epsilon$-greedy,epsilon,-7,7.1395793
sample average $\epsilon$-greedy,epsilon,-7,0.97064424
sample average $\epsilon$-greedy,epsilon,-7,1.7648892
sample average $\epsilon$-greedy,epsilon,-7,4.063514
sample average $\epsilon$-greedy,epsilon,-7,6.0813346
sample average $\epsilon$-greedy,epsilon,-7,6.0979977
sample average $\epsilon$-greedy,epsilon,-7,5.6489544
sample average $\epsilon$-greedy,epsilon,-7,5.195417
sample average $\epsilon$-greedy,epsilon,-7,3.086353
sample average $\epsilon$-greedy,epsilon,-7,3.1024776
sample average $\epsilon$-greedy,epsilon,-7,6.658101
sample average $\epsilon$-greedy,epsilon,-7,2.3348646
sample average $\epsilon$-greedy,epsilon,-7,1.805802
sample average $\epsilon$-greedy,epsilon,-7,7.650275
sample average $\epsilon$-greedy,epsilon,-7,0.72541857
sample average $\epsilon$-greedy,epsilon,-7,1.390826
sample average $\epsilon$-greedy,epsilon,-7,1.3311616
sample average $\epsilon$-greedy,epsilon,-7,5.956548
sample average $\epsilon$-greedy,epsilon,-7,8.441479
sample average $\epsilon$-greedy,epsilon,-7,3.2395046
sample average $\epsilon$-greedy,epsilon,-7,5.603882
sample average $\epsilon$-greedy,epsilon,-7,4.8246236
sample average $\epsilon$-greedy,epsilon,-7,3.09709
sample average $\epsilon$-greedy,epsilon,-7,6.8848925
sample average $\epsilon$-greedy,epsilon,-7,3.7707455
sample average $\epsilon$-greedy,epsilon,-7,8.29227
sample average $\epsilon$-greedy,epsilon,-7,4.373549
sample average $\epsilon$-greedy,epsilon,-7,4.1644783
sample average $\epsilon$-greedy,epsilon,-7,7.9587464
sample average $\epsilon$-greedy,epsilon,-7,1.4127358
sample average $\epsilon$-greedy,epsilon,-7,6.8830023
sample average $\epsilon$-greedy,epsilon,-7,2.8852656
sample average $\epsilon$-greedy,epsilon,-7,2.1954784
sample average $\epsilon$-greedy,epsilon,-7,4.5045834
sample average $\epsilon$-greedy,epsilon,-7,5.7181063
sample average $\epsilon$-greedy,epsilon,-7,2.557791
sample average $\epsilon$-greedy,epsilon,-7,2.3302948
sample average $\epsilon$-greedy,epsilon,-7,0.53594595
sample average $\epsilon$-greedy,epsilon,-7,5.4210386
sample average $\epsilon$-greedy,epsilon,-7,6.955636
sample average $\epsilon$-greedy,epsilon,-7,0.56574196
sample average $\epsilon$-greedy,epsilon,-7,8.68158
sample average $\epsilon$-greedy,epsilon,-7,5.716569
sample average $\epsilon$-greedy,epsilon,-7,4.7581563
sample average $\epsilon$-greedy,epsilon,-7,7.2341857
sample average $\epsilon$-greedy,epsilon,-7,3.2977881
sample average $\epsilon$-greedy,epsilon,-7,5.1915236
sample average $\epsilon$-greedy,epsilon,-7,4.1234245
sample average $\epsilon$-greedy,epsilon,-7,1.5427203
sample average $\epsilon$-greedy,epsilon,-7,5.7586327
sample average $\epsilon$-greedy,epsilon,-7,5.080434
sample average $\epsilon$-greedy,epsilon,-7,0.805098
sample average $\epsilon$-greedy,epsilon,-7,3.7973123
sample average $\epsilon$-greedy,epsilon,-7,3.685793
sample average $\epsilon$-greedy,epsilon,-7,5.2731714
sample average $\epsilon$-greedy,epsilon,-7,0.03486324
sample average $\epsilon$-greedy,epsilon,-7,3.937119
sample average $\epsilon$-greedy,epsilon,-7,4.9627233
sample average $\epsilon$-greedy,epsilon,-7,4.668325
sample average $\epsilon$-greedy,epsilon,-7,2.3264484
sample average $\epsilon$-greedy,epsilon,-7,1.4375569
sample average $\epsilon$-greedy,epsilon,-7,2.6813312
sample average $\epsilon$-greedy,epsilon,-7,2.5434315
sample average $\epsilon$-greedy,epsilon,-7,3.8883622
sample average $\epsilon$-greedy,epsilon,-7,1.7945013
sample average $\epsilon$-greedy,epsilon,-7,4.2120037
sample average $\epsilon$-greedy,epsilon,-7,5.78294
